source_id;urn_cts;is_primary_text;has_pdf;anchor_external;pdf_path;digital_source;author;language;has_translation;pages;title;publisher;publication_place;source_book;notes;source_type;year;doi;discipline;txt_path
Gibson2014_NippurAndB;;No;True;;;oi.uchicago.edu;Gibson M.;;No;107-109;Nippur And Beyond;;;;;Archaeological Report;2014;;;
Gibson2015_Nippur;;No;True;;;oi.uchicago.edu;Gibson M.;;No;122-124;Nippur;;;;;Archaeological Report, Tablet Translation, Article, Article in Book, Book;2015;;;
Gilibert2021_UrbanSquar;;No;True;;;https://doi.org/10.1086/716076;Gilibert A.;;No;377-415;Urban Squares In Late Bronze Age Ugarit:a Street View On Ancient Near Eastern Governance;The University of Chicago Press.;;Journal of Near Eastern Studies, volume 80, number 2,;;Article in Book;2021;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Gilibert2021_UrbanSquar.txt
Haines0000_Sumerianst;;No;True;;;oi.uchicago.edu;Haines R.C.;;No;8-10;The Nippur Expedition;;;;;Archaeological Report;Unknown;;;
Haines1945_TheNippurE;;No;True;;;oi.uchicago.edu;Haines R.;;No;;The Nippur Expedition;;;;;Archaeological Report;1945;;;
Haines1961_TheNippurE;;No;True;;;oi.uchicago.edu;Haines R.;;No;4-6;The Nippur Expedition;;;;;Archaeological Report;1961;;;
Haines1963_TheNippurE;;No;True;;;oi.uchicago.edu;Haines R.C.;;No;19-20;The Nippur Expedition;;;;;Archaeological Report, Tablet Translation, Article, Article in Book, Book;1963;;;
Harper1892_AssyrianAn;;No;True;;;;Harper R.F.;;No;;Assyrian And Babylonian Letters Belonging To The K. Collection Of The British Museum;THE UNIVERSITY OF CHICAGO PRESS;;;;book:;1892;;;
Hasselbach-Andee2020_Multilingu;;No;True;;;;Hasselbach‐Andee R.;;No;457-470 (ch24);Multilingualism And Diglossia In The Ancient Near East;;;A Companion to Ancient Near Eastern Languages, First Edition.;;Article in Book;2020;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Hasselbach-Andee2020_Multilingu.txt
Hawley2005_OnTheAlpha;;No;True;;;https://shs.hal.science/halshs-00437137;Hawley R.;;No;57-57;On The Alphabetic Scribal Curriculum At Ugarit;;;51e Rencontre Assyriologique Internationale;;Article in Book;2005;;;
Hilprecht2004_ModelTexts;;No;True;;;;Hilprecht N.V.A.H.;;No;28-49;Model Texts And Exercises From The Temple School Of Nippur: Be 19;;;;;Article in Book;2004;;;
Hoffner2009_HittiteStu;;No;True;;;http://www.jstor.org/stable/10.1086/613997 .;Hoffner H.A.;;No;213-215, Vol. 68;Hittite Studies In Honor (bibliography);;;Journal of Near Eastern Studies, No. 3 (July 2009);;Article in Book;2009;;;
