source_id;author;title;year;source_type;source_book;publication_place;publisher;pages;language;discipline;urn_cts;is_primary_text;has_translation;digital_source;notes;doi;pdf_path;has_pdf;txt_path
Veldhuis2000_KassiteExe;Veldhuis N.;Kassite Exercises: Literary And Lexical Extracts;2000;Article in Book;Journal of Cuneiform Studies, Vol. 52, (2000);;The American Schools of Oriental Research;pp. 67-94;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Veldhuis2000_KassiteExe.txt
Veldhuis2000_ReviewSume;Veldhuis N.;Review: Sumerian Proverbs In Their Curricular Context;2000;Article in Book;Journal of the American Oriental Society;;American Oriental Society;pp. 383-399;;;;No;No;;;;;True;
Veldhuis2002_StudiesInS;Veldhuis N.;"Studies In Sumerian Vocabulary: Dnin Ka6; Immal/šilam; And Še21.d";2002;Article in Book;Journal of Cuneiform Studies, Vol. 54,;;The American Schools of Oriental Research;pp. 67-77;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Veldhuis2002_StudiesInS.txt
Veldhuis2003_OnTheCurri;Veldhuis N.;On The Curriculum Of The Neo Babylonian School;2003;Article in Book;Journal of the American Oriental Society;;American Oriental Society;627-633;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Veldhuis2003_OnTheCurri.txt
Veldhuis2006_HowDidThey;Veldhuis N.;How Did They Learn Cuneiform? Tribute/word List C As An Elementary Exercise;2006;Article in Book;Approaches to Sumerian Literature (H. L. J. Vanstiphout);;BRILL LEIDEN•BOSTON;181-200;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Veldhuis2006_HowDidThey.txt
Veldhuis2012_PrestigeDi;Veldhuis N.;Prestige: Divergent Receptions Of Babylonian Scholarship: Cuneiform Lexical Texts In The Lare Bronze Age;2012;Article in Book;Birgit Christiansen, Ulrich Thaler (Hrsg.) Ansehenssache Formen von Prestige in Kulturen des Alterrums;;;83-103;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Veldhuis2012_PrestigeDi.txt
Veldhuis2013_PurityAndA;Veldhuis N.;Purity And Access: A Catalog Of Lexical Texts Dedicated To Nabû;2013;Article in Book;Journal of Cuneiform Studies, Vol. 65;;;169-180;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Veldhuis2013_PurityAndA.txt
Verderame0000_RassamsAct;Verderame L.;Rassam’s Activities At Tello (1879) And The Earliest Acquisition Of Neo Sumerian Tablets In The British Museu;Unknown;Article;;;;;;;;No;No;;;;;True;
Volk2000_EdubbaaUnd;Volk K.;Edubba>a Und Edubba>a Literatur: Ratsel Und Losungen;2000;Article in Book;Original veroffentlichung in: Zeitschrift fur Assyriologie und vorderasiatische Archaologie 90;;;1-30;;;;No;No;;;;;True;
Woolley1930_Excavation;"Woolley C.L.; Littd";Excavations At Ur, 1929 30;1930;Archaeological Report;;;;81-105;;;;No;No;;;;;True;
Yushu2010_TheSumeria;Yushu G.;The Sumerian Account Of The Invention Of Writing —a New Interpretation;2010;Article in Book;Procedia Social and Behavioral Sciences 2;;;7446 -7453;;;;No;No;www.sciencedirect.com;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Yushu2010_TheSumeria.txt
Charpin2010_ReadingAnd;Charpin D.;Reading and Writing in Babylon;2010;chapter in book;;;;"1-16; 271-304;";;;;No;No;;Added automatically from TXT + METADATA;;;TRUE;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Charpin2010_ReadingAnd.txt
Michalowski2021_TheyWroteo;Michalowski P.;They Wrote on Clay, Wax, and Stone: Some Thoughts on Early Mesopotamian Writing;2021;Article in Journal:;;;De Gruyter;67-89;;;;No;No;https://doi.org/10.1515/9783110753301-005;Added automatically from TXT + METADATA;;;TRUE;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Michalowski2021_TheyWroteo.txt
Taylor2015_ASystemati;Taylor A.J.;A Systematic Review of the Mortality from Untreated Leptospirosis;2015;Article in Jornal:;;;;1-19;;;;No;No;DOI:10.1371/journal.pntd.0003866;Added automatically from TXT + METADATA;;;TRUE;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Taylor2015_ASystemati.txt
Janssen2018_AddressBeh;Janssen C.;Address Behaviour in Eight Unpublished ana bēlīja Letters from the Late Old Babylonian Ur-Utu Archive: Close Relatives Through a Distant Mirror?;2018;"Article, Article in Journal: Zeitschrift für Assyriologie 2018; 108(2)";;;;332 -348;;;;No;No;https://doi.org/10.1515/za-2018-0011;Added automatically from TXT + METADATA;;;TRUE;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Janssen2018_AddressBeh.txt
Sovegjarto2023_Archaeolo;Sovegjarto S.;A Collector’s Edition of the Past: Personal Collections of Mesopotamian Royal Inscriptions from the Old Babylonian Period;2023;Article in Journal:;;;;447 - 477;;;;No;No;https://doi.org/10.1515/9783111037196-014;Added automatically from TXT + METADATA;;;TRUE;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Sovegjarto2023_ACollector.txt
Schneider2022_NippurCit;Schneider B.;Nippur: City of Enlil and Ninurta Introduction: Location as Advantage;2022;Article in JOurnal:;;;De Gruyter;745 -763;;;;No;No;https://doi.org/10.1515/9783110798432-039;Added automatically from TXT + METADATA;;;TRUE;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Schneider2022_NippurCity.txt
Tanret2011_LearnedRic;Tanret M.;Learned, Rich, Famous, And Unhappy: Ur Utu Of Sippar;2011;Article in Book;;;;Chapter 13 pp.270-279;;;;No;No;;Added automatically from TXT + METADATA;;;TRUE;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Tanret2011_LearnedRic.txt
Michel0000_CentralAna;Michel C.;Central Anatolia in the Nineteenth and Eighteenth Centuries BC;;Article in Book;;;;111-136;;;;No;No;;Added automatically from TXT + METADATA;;;TRUE;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Michel0000_CentralAna.txt
Nan2024_TheRoleand;Nan X.;The Role and Limitations of the United Nations in Middle East Security. A Case Study of United Nations Truce Supervision Organization;2024;Article in Book;;;;1029-1038;;;;No;No;https://doi.org/10.2991/978-2-38476-297-2_124;Added automatically from TXT + METADATA;;;TRUE;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Nan2024_TheRoleand.txt
Roger2016_GlobalCorr;Roger M.;Global correlation and uncertainty accounting;2016;Article in Journal:;;;;184-190;;;;No;No;DOI 10.1515/demo-2016-0009;Added automatically from TXT + METADATA;;;TRUE;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Roger2016_Globalcorr.txt
Steele2004_TheCultsof;Steele M.J.;TheCultsofUrukandBabylon:TheTempleRitualTextsasEvidence for Hellenistic Cult Practice by Marc J.H.Linssen;2004;Monographs: Cuneiform Monographs 25. Leiden:Brill--Styx, 2004.  ISBN 90--04--12402--0.Cloth ¤106.00;;;;Pp.xv+343.;;;;No;No;;Added automatically from TXT + METADATA;;;TRUE;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Steele2004_TheCultsof.txt
Reade2016_TheManufac;Reade J.;The Manufacture, Evaluation and Conservation of Clay Tablets Inscribed in Cuneiform: Traditional Problems and Solutions;2016;Article in Book;;;Cambridge University Press;163 -202;;;;No;No;https://doi.org/10.1017/irq.2016.10;Added automatically from TXT + METADATA;;;TRUE;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Reade2016_TheManufac.txt
